customerid,uniqueid,name,age,gender,emailid,phonenos,sizeoffamily
0,AAD0,AqGUAN asLFeA,24,M,AasLFeA@gmail.com,388426668,2
1,AAD1,DjsCPg xjWquF,58,M,DxjWquF@gmail.com,742503957,5
2,AAD2,fDANzU jFEroO,62,M,fjFEroO@gmail.com,242258572,5
3,AAD3,JmyERK PORaaF,50,M,JPORaaF@gmail.com,277756413,0
4,AAD4,DUjmod GLzBmf,51,F,DGLzBmf@gmail.com,863766726,4
5,AAD5,NcgEFH fokyrS,62,F,NfokyrS@gmail.com,619034468,1
6,AAD6,hWwvcp LaivGa,64,F,hLaivGa@gmail.com,393900558,1
7,AAD7,RZaddz lxSHHF,83,M,RlxSHHF@gmail.com,159594619,4
8,AAD8,UiapbZ aWivBo,46,M,UaWivBo@gmail.com,304021732,2
9,AAD9,vobWKA aBxYAU,28,F,vaBxYAU@gmail.com,414792576,2
10,AAD10,yeBFej nAoNDo,45,M,ynAoNDo@gmail.com,888727171,4
