customerid,emailid,policyid,premium,avgclaimamount,tenure,date,premiuminterval,motorregno,motorregauth,motorregdate,motoryearofmanufacture,motormake,motorchassisno,motorloan 
0,AasLFeA@gmail.com,1000001,2500,250000,5,2015-01-01,yearly,TN01100147,TN,2015-01-01,1996,India,CHS1100,No
1,DxjWquF@gmail.com,1000002,2000,200000,5,2015-01-02,yearly,TN01200148,TN,2015-01-02,1996,India,CHS1200,No
2,fjFEroO@gmail.com,1000003,2500,250000,5,2015-01-01,yearly,TN01123149,TN,2015-01-01,1996,India,CHS1123,Yes
3,JPORaaF@gmail.com,1000004,3500,350000,5,2015-01-03,yearly,TN01145678,TN,2015-01-03,1996,India,CHS1145,No
4,DGLzBmf@gmail.com,1000005,1000,100000,5,2015-01-02,quarter,TN01289146,TN,2015-01-02,1994,India,CHS1289,No
5,NfokyrS@gmail.com,1000006,4500,450000,5,2015-01-04,yearly,TN01349156,TN,2015-01-04,1994,India,CHS1349,No
6,hLaivGa@gmail.com,1000007,5000,500000,5,2015-01-05,yearly,TN01455353,TN,2015-01-01,1994,India,CHS1445,No
7,RlxSHHF@gmail.com,1000008,1000,100000,5,2015-01-01,yearly,TN01415153,TN,2015-01-02,1994,India,CHS1415,No
8,UaWivBo@gmail.com,1000009,2000,200000,5,2015-01-02,yearly,TN01425253,TN,2015-01-03,1994,India,CHS1425,No
9,vaBxYAU@gmail.com,1000010,3000,300000,5,2015-01-03,yearly,TN01435353,TN,2015-01-04,1994,India,CHS1435,No
10,ynAoNDo@gmail.com,1000011,5000,500000,5,2015-01-04,yearly,TN01454453,TN,2015-01-01,1994,India,CHS1454,No
